FID,lon,lat
1071,113.84842,22.75563
1072,113.84434,22.75537
1073,113.84536,22.75597
1074,113.8445,22.75402
1075,113.84552,22.75487
1076,113.84537,22.75423
1077,113.8465,22.75571
1078,113.84597,22.7543
1079,113.84705,22.7543
1080,113.84761,22.75499
1081,113.84479,22.7535
1082,113.84532,22.75383
1083,113.8459,22.75353
1084,113.84647,22.75392
1085,113.84762,22.75391
1086,113.84704,22.75353
1087,113.84839,22.75285
1088,113.84599,22.75218
1089,113.85089,22.75125
1090,113.8479,22.74672
1091,113.85577,22.75724
1092,113.85808,22.74992
1093,113.85627,22.75335
1094,113.85808,22.75163
1095,113.85816,22.75285
1096,113.85908,22.75325
1097,113.8609,22.75239
1098,113.86018,22.75087
1099,113.86531,22.75439
1100,113.86429,22.75457
1101,113.86571,22.75622
1102,113.86627,22.75801
1103,113.86505,22.75819
1104,113.86194,22.75717
1105,113.86645,22.75416
1106,113.8674,22.75778
1107,113.86871,22.75864
1108,113.86963,22.75723
1109,113.86851,22.75754
1110,113.86798,22.75572
1111,113.85998,22.75519
1112,113.861,22.74896
1113,113.86246,22.75325
1114,113.86501,22.7536
1115,113.86603,22.75258
1116,113.86737,22.75321
1117,113.86828,22.7521
1118,113.87522,22.75852
1119,113.87504,22.7515
1120,113.87007,22.75507
1121,113.87056,22.75614
1122,113.87162,22.75681
1123,113.76996,22.73798
1124,113.77405,22.74441
1125,113.77548,22.74097
1126,113.77659,22.74346
1127,113.77557,22.74214
1128,113.77651,22.74269
1129,113.77573,22.7452
1130,113.77766,22.7444
1131,113.77719,22.742
1132,113.77638,22.74155
1133,113.7779,22.74135
1134,113.77719,22.74085
1135,113.78004,22.74289
1136,113.77871,22.7425
1137,113.78074,22.7423
1138,113.78267,22.74863
1139,113.78255,22.74345
1140,113.78363,22.74668
1141,113.78974,22.74577
1142,113.78964,22.74744
1143,113.78907,22.74721
1144,113.78937,22.74763
1145,113.78966,22.74773
1146,113.78988,22.74754
1147,113.78979,22.74797
1148,113.7898,22.74816
1149,113.78913,22.74794
1150,113.78937,22.74821
1151,113.78632,22.74993
